,Name,Location,,Date established as park[7][8],non-contiguous,AK,year,month,month,day,latitude,longitude,coordinates
1,Yellowstone,44.60°N 110.50°W,"Wyoming, Montana, Idaho","March 1, 1872",0,0,1872,Mar,3,1,44.6,110.5,"44.60,-110.50"
2,Sequoia,36.43°N 118.68°W,California,"September 25, 1890",0,0,1890,Sep,9,25,36.43,118.68,"36.43,-118.68"
3,Yosemite,37.83°N 119.50°W,California,"October 1, 1890",0,0,1890,Oct,10,1,37.83,119.5,"37.83,-119.50"
4,Mount Rainier,46.85°N 121.75°W,Washington,"March 2, 1899",0,0,1899,Mar,3,2,46.85,121.75,"46.85,-121.75"
5,Crater Lake,42.94°N 122.1°W,Oregon,"May 22, 1902",0,0,1902,May,5,22,42.94,122.1,"42.94,-122.1"
6,Wind Cave,43.57°N 103.48°W,South Dakota,"January 9, 1903",0,0,1903,Jan,1,9,43.57,103.48,"43.57,-103.48"
7,Mesa Verde,37.18°N 108.49°W,Colorado,"June 29, 1906",0,0,1906,Jun,6,29,37.18,108.49,"37.18,-108.49"
8,Glacier,48.80°N 114.00°W,Montana,"May 11, 1910",0,0,1910,May,5,11,48.8,114,"48.80,-114.00"
9,Rocky Mountain,40.40°N 105.58°W,Colorado,"January 26, 1915",0,0,1915,Jan,1,26,40.4,105.58,"40.40,-105.58"
10,Lassen Volcanic,40.49°N 121.51°W,California,"August 9, 1916",0,0,1916,Aug,8,9,40.49,121.51,"40.49,-121.51"
11,Arcadia,44.35°N 68.21°W,,"February 26, 1919",0,0,1919,Feb,2,26,44.35,68.21,"44.35,-68.21"
12,Grand Canyon,36.06°N 112.14°W,Arizona,"February 26, 1919",0,0,1919,Feb,2,26,36.06,112.14,"36.06,-112.14"
13,Zion,37.30°N 113.05°W,Utah,"November 19, 1919",0,0,1919,Nov,11,19,37.3,113.05,"37.30,-113.05"
14,Hot Springs,34.51°N 93.05°W,Arkansas,"March 4, 1921",0,0,1921,Mar,3,4,34.51,93.05,"34.51,-93.05"
15,Bryce Canyon,37.57°N 112.18°W,Utah,"February 25, 1928",0,0,1928,Feb,2,25,37.57,112.18,"37.57,-112.18"
16,Grand Teton,43.73°N 110.80°W,Wyoming,"February 26, 1929",0,0,1929,Feb,2,26,43.73,110.8,"43.73,-110.80"
17,Carlsbad Caverns,32.17°N 104.44°W,New Mexico,"May 14, 1930",0,0,1930,May,5,14,32.17,104.44,"32.17,-104.44"
18,Everglades,25.32°N 80.93°W,Florida,"May 30, 1934",0,0,1934,May,5,30,25.32,80.93,"25.32,-80.93"
19,Great Smoky Mountains,35.68°N 83.53°W,"Tennessee, North Carolina","June 15, 1934",0,0,1934,Jun,6,15,35.68,83.53,"35.68,-83.53"
20,Shenandoah,38.53°N 78.35°W,Virginia,"December 26, 1935",0,0,1935,Dec,12,26,38.53,78.35,"38.53,-78.35"
21,Olympic,47.97°N 123.50°W,Washington,"June 29, 1938",0,0,1938,Jun,6,29,47.97,123.5,"47.97,-123.50"
22,Kings Canyon,36.80°N 118.55°W,California,"March 4, 1940",0,0,1940,Mar,3,4,36.8,118.55,"36.80,-118.55"
23,Isle Royale,48.10°N 88.55°W,Michigan,"April 3, 1940",0,0,1940,Apr,4,3,48.1,88.55,"48.10,-88.55"
