ID,Name,non-contiguous,include,latitude,longitude,GMName,,,perimeter,cout,ca,eastcoast,se,sw,nw
0,Yellowstone,0,1,44.6,110.5,"Yellowstone National Park, United States",,,0,0,0,0,0,0,1
1,Sequoia,0,0,36.43,118.68,"Sequoia National Park, California, USA",,,0,0,1,0,0,0,0
2,Yosemite,0,0,37.83,119.5,"Yosemite National Park, California, USA",,,0,0,1,0,0,0,0
3,Mount Rainier,0,1,46.85,121.75,"Mount Rainier National Park, Washington, USA",,,0,0,0,0,0,0,1
4,Crater Lake,0,1,42.94,122.1,"Crater Lake National Park, Oregon, USA",,,0,0,0,0,0,0,1
5,Wind Cave,0,0,43.57,103.48,"Wind Cave National Park, South Dakota, USA",,,0,0,0,1,0,0,0
6,Mesa Verde,0,0,37.18,108.49,"Mesa Verde National Park, Mesa Verde, CO, USA",,,0,1,0,0,0,0,0
7,Glacier,0,1,48.8,114,"Glacier National Park, Montana, USA",,,1,0,0,0,0,0,1
8,Rocky Mountain,0,0,40.4,105.58,"Rocky Mountain National Park, Colorado, USA",,,0,1,0,0,0,0,0
9,Lassen Volcanic,0,0,40.49,121.51,"Lassen Volcanic National Park, California, USA",,,0,0,1,0,0,0,0
10,Acadia,0,0,44.35,68.21,"Acadia National Park, Maine, USA",,,1,0,0,1,0,0,0
11,Grand Canyon,0,0,36.06,112.14,"Grand Canyon National Park, Arizona, USA",,,0,0,0,0,0,1,0
12,Zion,0,0,37.3,113.05,"Zion National Park, Utah, USA",,,0,1,0,0,0,0,0
13,Hot Springs,0,0,34.51,93.05,"Hot Springs National Park, 369 Central Ave, Hot Springs, AR 71901, USA",,,0,0,0,0,1,0,0
14,Bryce Canyon,0,0,37.57,112.18,"Bryce Canyon National Park, Utah, USA",,,0,1,0,0,0,0,0
15,Grand Teton,0,1,43.73,110.8,"Grand Teton National Park, Wyoming, USA",,,0,0,0,0,0,0,1
16,Carlsbad Caverns,0,0,32.17,104.44,"Carlsbad Caverns National Park, New Mexico 88220, USA",,,0,0,0,0,0,1,0
17,Everglades,0,0,25.32,80.93,40001 State Hwy 9336 Homestead FL,,,1,0,0,0,1,0,0
