25,Big Bend,29.25°N 103.25°W,Texas,"June 12, 1944",0,0,0,0,1944,Jun,6,12,29.25,103.25,"29.25,-103.25",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Big Bend National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
26,Petrified Forest,35.07°N 109.78°W,Arizona,"December 9, 1962",1,0,0,0,1962,Dec,12, 9,35.07,109.78,"35.07,-109.78",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Petrified Forest National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
27,Canyonlands,38.2°N 109.93°W,Utah,"September 12, 1964",0,0,0,0,1964,Sep,9,12,38.2,109.93,"38.2,-109.93",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Canyonlands National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
28,Guadalupe Mountains,31.92°N 104.87°W,Texas,"October 15, 1966",0,0,0,0,1966,Oct,10,15,31.92,104.87,"31.92,-104.87",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Guadalupe Mountains National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
29,North Cascades,48.70°N 121.20°W,Washington,"October 2, 1968",0,0,0,0,1968,Oct,10, 2,48.70,121.20,"48.70,-121.20",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=North Cascades National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
30,Redwood,41.30°N 124.00°W,California,"October 2, 1968",0,0,0,0,1968,Oct,10, 2,41.30,124.00,"41.30,-124.00",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Redwood National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
31,Voyageurs,48.50°N 92.88°W,Minnesota,"January 8, 1971",0,0,0,0,1971,Jan,1, 8,48.50,92.88,"48.50,-92.88",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Voyageurs National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
32,Arches,38.68°N 109.57°W,Utah,"November 12, 1971",1,0,0,0,1971,Nov,11,12,38.68,109.57,"38.68,-109.57",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Arches National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
33,Capitol Reef,38.20°N 111.17°W,Utah,"December 18, 1971",0,0,0,0,1971,Dec,12,18,38.20,111.17,"38.20,-111.17",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Capitol Reef National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
34,Badlands,43.75°N 102.50°W,South Dakota,"November 10, 1978",1,0,0,0,1978,Nov,11,10,43.75,102.50,"43.75,-102.50",Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park,https://maps.googleapis.com/maps/api/distancematrix/xml?origins=Badlands National Park&destinations=Yellowstone National Park|Sequoia National Park|Yosemite National Park|Mount Rainier National Park|Crater Lake National Park|Wind Cave National Park|Mesa Verde National Park|Glacier National Park|Rocky Mountain National Park|Lassen Volcanic National Park|Arcadia National Park|Grand Canyon National Park|Zion National Park|Hot Springs National Park|Bryce Canyon National Park|Grand Teton National Park|Carlsbad Caverns National Park|Everglades National Park Visitor Center|Great Smoky Mountains National Park|Shenandoah National Park|Olympic National Park|Kings Canyon National Park|Isle Royale National Park|Mammoth Cave National Park|Big Bend National Park|Petrified Forest National Park|Canyonlands National Park|Guadalupe Mountains National Park|North Cascades National Park|Redwood National Park|Voyageurs National Park|Arches National Park|Capitol Reef National Park|Badlands National Park|Theodore Roosevelt National Park|Biscayne National Park Visitor Center|Great Basin National Park|Saguaro National Park|Death Valley National Park Visitor Center|Joshua Tree National Park|Black Canyon of the Gunnison National Park|Cuyahoga Valley National Park|Congaree National Park|Great Sand Dunes National Park&key=AIzaSyCkpaZxPTLxUr5e8Gsf88lp3yAXsc9KKvI
